
Summary,EXAMPLE
Emissions

Cost,32242.6

TID Demand

,EXAMPLE
Fuel,2019,2020,2021,2022
DEMPWRCOA,ELC001,WN,0,0,0,0
DEMPWRCOA,ELC002,SD,0,0,0,0
DEMPWRCOA,ELC002,SN,0,0,0,0
DEMPWRCOA,ELC002,WD,0,0,0,0
DEMPWRCOA,ELC002,WN,0,0,0,0
DEMPWRCOA,GAS,SD,0,0,0,0
DEMPWRCOA,GAS,SN,0,0,0,0
DEMPWRCOA,GAS,WD,0,0,0,0
DEMPWRCOA,GAS,WN,0,0,0,0
DEMPWRCOA,HYD,SD,0,0,0,0
DEMPWRCOA,HYD,SN,0,0,0,0
DEMPWRCOA,HYD,WD,0,0,0,0
DEMPWRCOA,HYD,WN,0,0,0,0
DEMPWRCOA,SOL,SD,0,0,0,0
DEMPWRCOA,SOL,SN,0,0,0,0
DEMPWRCOA,SOL,WD,0,0,0,0
DEMPWRCOA,SOL,WN,0,0,0,0
DEMPWRCOA,WAT,SD,0,0,0,0
DEMPWRCOA,WAT,SN,0,0,0,0
DEMPWRCOA,WAT,WD,0,0,0,0
DEMPWRCOA,WAT,WN,0,0,0,0
DEMPWRCOA,WND,SD,0,0,0,0
DEMPWRCOA,WND,SN,0,0,0,0
DEMPWRCOA,WND,WD,0,0,0,0
DEMPWRCOA,WND,WN,0,0,0,0
DEMPWRGAS,COA,SD,0,0,0,0
DEMPWRGAS,COA,SN,0,0,0,0
DEMPWRGAS,COA,WD,0,0,0,0
DEMPWRGAS,COA,WN,0,0,0,0
DEMPWRGAS,ELC001,SD,0,0,0,0
DEMPWRGAS,ELC001,SN,0,0,0,0
DEMPWRGAS,ELC001,WD,0,0,0,0
DEMPWRGAS,ELC001,WN,0,0,0,0
DEMPWRGAS,ELC002,SD,0,0,0,0
DEMPWRGAS,ELC002,SN,0,0,0,0
DEMPWRGAS,ELC002,WD,0,0,0,0
DEMPWRGAS,ELC002,WN,0,0,0,0
DEMPWRGAS,GAS,SD,0,0,0,0
DEMPWRGAS,GAS,SN,0,0,0,0
DEMPWRGAS,GAS,WD,0,0,0,0
DEMPWRGAS,GAS,WN,0,0,0,0
DEMPWRGAS,HYD,SD,0,0,0,0
DEMPWRGAS,HYD,SN,0,0,0,0
DEMPWRGAS,HYD,WD,0,0,0,0
DEMPWRGAS,HYD,WN,0,0,0,0
DEMPWRGAS,SOL,SD,0,0,0,0
DEMPWRGAS,SOL,SN,0,0,0,0
DEMPWRGAS,SOL,WD,0,0,0,0
DEMPWRGAS,SOL,WN,0,0,0,0
DEMPWRGAS,WAT,SD,0,0,0,0
DEMPWRGAS,WAT,SN,0,0,0,0
DEMPWRGAS,WAT,WD,0,0,0,0
DEMPWRGAS,WAT,WN,0,0,0,0
DEMPWRGAS,WND,SD,0,0,0,0
DEMPWRGAS,WND,SN,0,0,0,0
DEMPWRGAS,WND,WD,0,0,0,0
DEMPWRGAS,WND,WN,0,0,0,0
MINHYD,COA,SD,0,0,0,0
MINHYD,COA,SN,0,0,0,0
MINHYD,COA,WD,0,0,0,0
MINHYD,COA,WN,0,0,0,0
MINHYD,ELC001,SD,0,0,0,0
MINHYD,ELC001,SN,0,0,0,0
MINHYD,ELC001,WD,0,0,0,0
MINHYD,ELC001,WN,0,0,0,0
MINHYD,ELC002,SD,0,0,0,0
MINHYD,ELC002,SN,0,0,0,0
MINHYD,ELC002,WD,0,0,0,0
MINHYD,ELC002,WN,0,0,0,0
MINHYD,GAS,SD,0,0,0,0
MINHYD,GAS,SN,0,0,0,0
MINHYD,GAS,WD,0,0,0,0
MINHYD,GAS,WN,0,0,0,0
MINHYD,HYD,SD,0,0,0,0
MINHYD,HYD,SN,0,0,0,0
MINHYD,HYD,WD,0,0,0,0
MINHYD,HYD,WN,0,0,0,0
MINHYD,SOL,SD,0,0,0,0
MINHYD,SOL,SN,0,0,0,0
MINHYD,SOL,WD,0,0,0,0
MINHYD,SOL,WN,0,0,0,0
MINHYD,WAT,SD,0,0,0,0
MINHYD,WAT,SN,0,0,0,0
MINHYD,WAT,WD,0,0,0,0
MINHYD,WAT,WN,0,0,0,0
MINHYD,WND,SD,0,0,0,0
MINHYD,WND,SN,0,0,0,0
MINHYD,WND,WD,0,0,0,0
MINHYD,WND,WN,0,0,0,0
MINSOL,COA,SD,0,0,0,0
MINSOL,COA,SN,0,0,0,0
MINSOL,COA,WD,0,0,0,0
MINSOL,COA,WN,0,0,0,0
MINSOL,ELC001,SD,0,0,0,0
MINSOL,ELC001,SN,0,0,0,0
MINSOL,ELC001,WD,0,0,0,0
MINSOL,ELC001,WN,0,0,0,0
MINSOL,ELC002,SD,0,0,0,0
MINSOL,ELC002,SN,0,0,0,0
MINSOL,ELC002,WD,0,0,0,0
MINSOL,ELC002,WN,0,0,0,0
MINSOL,GAS,SD,0,0,0,0
MINSOL,GAS,SN,0,0,0,0
MINSOL,GAS,WD,0,0,0,0
MINSOL,GAS,WN,0,0,0,0
MINSOL,HYD,SD,0,0,0,0
MINSOL,HYD,SN,0,0,0,0
MINSOL,HYD,WD,0,0,0,0
MINSOL,HYD,WN,0,0,0,0
MINSOL,SOL,SD,0,0,0,0
MINSOL,SOL,SN,0,0,0,0
MINSOL,SOL,WD,0,0,0,0
MINSOL,SOL,WN,0,0,0,0
MINSOL,WAT,SD,0,0,0,0
MINSOL,WAT,SN,0,0,0,0
MINSOL,WAT,WD,0,0,0,0
MINSOL,WAT,WN,0,0,0,0
MINSOL,WND,SD,0,0,0,0
MINSOL,WND,SN,0,0,0,0
MINSOL,WND,WD,0,0,0,0
MINSOL,WND,WN,0,0,0,0
MINWND,COA,SD,0,0,0,0
MINWND,COA,SN,0,0,0,0
MINWND,COA,WD,0,0,0,0
MINWND,COA,WN,0,0,0,0
MINWND,ELC001,SD,0,0,0,0
MINWND,ELC001,SN,0,0,0,0
MINWND,ELC001,WD,0,0,0,0
MINWND,ELC001,WN,0,0,0,0
MINWND,ELC002,SD,0,0,0,0
MINWND,ELC002,SN,0,0,0,0
MINWND,ELC002,WD,0,0,0,0
MINWND,ELC002,WN,0,0,0,0
MINWND,GAS,SD,0,0,0,0
MINWND,GAS,SN,0,0,0,0
MINWND,GAS,WD,0,0,0,0
MINWND,GAS,WN,0,0,0,0
MINWND,HYD,SD,0,0,0,0
MINWND,HYD,SN,0,0,0,0
MINWND,HYD,WD,0,0,0,0
MINWND,HYD,WN,0,0,0,0
MINWND,SOL,SD,0,0,0,0
MINWND,SOL,SN,0,0,0,0
MINWND,SOL,WD,0,0,0,0
MINWND,SOL,WN,0,0,0,0
MINWND,WAT,SD,0,0,0,0
MINWND,WAT,SN,0,0,0,0
MINWND,WAT,WD,0,0,0,0
MINWND,WAT,WN,0,0,0,0
MINWND,WND,SD,0,0,0,0
MINWND,WND,SN,0,0,0,0
MINWND,WND,WD,0,0,0,0
MINWND,WND,WN,0,0,0,0
PWRCOA,COA,SD,0,0,0,0
PWRCOA,COA,SN,0,0,0,0
PWRCOA,COA,WD,0,0,0,0
PWRCOA,COA,WN,0,0,0,0
PWRCOA,ELC001,SD,0,0,0,0
PWRCOA,ELC001,SN,0,0,0,0
PWRCOA,ELC001,WD,0,0,0,0
PWRCOA,ELC001,WN,0,0,0,0
PWRCOA,ELC002,SD,0,0,0,0
PWRCOA,ELC002,SN,0,0,0,0
PWRCOA,ELC002,WD,0,0,0,0
PWRCOA,ELC002,WN,0,0,0,0
PWRCOA,GAS,SD,0,0,0,0
PWRCOA,GAS,SN,0,0,0,0
PWRCOA,GAS,WD,0,0,0,0
PWRCOA,GAS,WN,0,0,0,0
PWRCOA,HYD,SD,0,0,0,0
PWRCOA,HYD,SN,0,0,0,0
PWRCOA,HYD,WD,0,0,0,0
PWRCOA,HYD,WN,0,0,0,0
PWRCOA,SOL,SD,0,0,0,0
PWRCOA,SOL,SN,0,0,0,0
PWRCOA,SOL,WD,0,0,0,0
PWRCOA,SOL,WN,0,0,0,0
PWRCOA,WAT,SD,0,0,0,0
PWRCOA,WAT,SN,0,0,0,0
PWRCOA,WAT,WD,0,0,0,0
PWRCOA,WAT,WN,0,0,0,0
PWRCOA,WND,SD,0,0,0,0
PWRCOA,WND,SN,0,0,0,0
PWRCOA,WND,WD,0,0,0,0
PWRCOA,WND,WN,0,0,0,0
PWRGAS,COA,SD,0,0,0,0
PWRGAS,COA,SN,0,0,0,0
PWRGAS,COA,WD,0,0,0,0
PWRGAS,COA,WN,0,0,0,0
PWRGAS,ELC001,SD,0,0,0,0
PWRGAS,ELC001,SN,0,0,0,0
PWRGAS,ELC001,WD,0,0,0,0
PWRGAS,ELC001,WN,0,0,0,0
PWRGAS,ELC002,SD,0,0,0,0
PWRGAS,ELC002,SN,0,0,0,0
PWRGAS,ELC002,WD,0,0,0,0
PWRGAS,ELC002,WN,0,0,0,0
PWRGAS,GAS,SD,0,0,0,0
PWRGAS,GAS,SN,0,0,0,0
PWRGAS,GAS,WD,6.91658,6.91658,6.91658,6.91658
PWRGAS,GAS,WN,64.1676,64.1676,64.1676,64.1676
PWRGAS,HYD,SD,0,0,0,0
PWRGAS,HYD,SN,0,0,0,0
PWRGAS,HYD,WD,0,0,0,0
PWRGAS,HYD,WN,0,0,0,0
PWRGAS,SOL,SD,0,0,0,0
PWRGAS,SOL,SN,0,0,0,0
PWRGAS,SOL,WD,0,0,0,0
PWRGAS,SOL,WN,0,0,0,0
PWRGAS,WAT,SD,0,0,0,0
PWRGAS,WAT,SN,0,0,0,0
PWRGAS,WAT,WD,0,0,0,0
PWRGAS,WAT,WN,0,0,0,0
PWRGAS,WND,SD,0,0,0,0
PWRGAS,WND,SN,0,0,0,0
PWRGAS,WND,WD,0,0,0,0
PWRGAS,WND,WN,0,0,0,0
PWRHYD,COA,SD,0,0,0,0
PWRHYD,COA,SN,0,0,0,0
PWRHYD,COA,WD,0,0,0,0
PWRHYD,COA,WN,0,0,0,0
PWRHYD,ELC001,SD,0,0,0,0
PWRHYD,ELC001,SN,0,0,0,0
PWRHYD,ELC001,WD,0,0,0,0
PWRHYD,ELC001,WN,0,0,0,0
PWRHYD,ELC002,SD,0,0,0,0
PWRHYD,ELC002,SN,0,0,0,0
PWRHYD,ELC002,WD,0,0,0,0
PWRHYD,ELC002,WN,0,0,0,0
PWRHYD,GAS,SD,0,0,0,0
PWRHYD,GAS,SN,0,0,0,0
PWRHYD,GAS,WD,0,0,0,0
PWRHYD,GAS,WN,0,0,0,0
PWRHYD,HYD,SD,28806.5,28806.5,28806.5,28806.5
PWRHYD,HYD,SN,14400,14400,14400,14400
PWRHYD,HYD,WD,17849.2,17849.2,17849.2,17849.2
PWRHYD,HYD,WN,17849.2,17849.2,17849.2,17849.2
PWRHYD,SOL,SD,0,0,0,0
PWRHYD,SOL,SN,0,0,0,0
PWRHYD,SOL,WD,0,0,0,0
PWRHYD,SOL,WN,0,0,0,0
PWRHYD,WAT,SD,0,0,0,0
PWRHYD,WAT,SN,0,0,0,0
PWRHYD,WAT,WD,0,0,0,0
PWRHYD,WAT,WN,0,0,0,0
PWRHYD,WND,SD,0,0,0,0
PWRHYD,WND,SN,0,0,0,0
PWRHYD,WND,WD,0,0,0,0
PWRHYD,WND,WN,0,0,0,0
PWRSOL,COA,SD,0,0,0,0
PWRSOL,COA,SN,0,0,0,0
PWRSOL,COA,WD,0,0,0,0
PWRSOL,COA,WN,0,0,0,0
PWRSOL,ELC001,SD,0,0,0,0
PWRSOL,ELC001,SN,0,0,0,0
PWRSOL,ELC001,WD,0,0,0,0
PWRSOL,ELC001,WN,0,0,0,0
PWRSOL,ELC002,SD,0,0,0,0
PWRSOL,ELC002,SN,0,0,0,0
PWRSOL,ELC002,WD,0,0,0,0
PWRSOL,ELC002,WN,0,0,0,0
PWRSOL,GAS,SD,0,0,0,0
PWRSOL,GAS,SN,0,0,0,0
PWRSOL,GAS,WD,0,0,0,0
PWRSOL,GAS,WN,0,0,0,0
PWRSOL,HYD,SD,0,0,0,0
PWRSOL,HYD,SN,0,0,0,0
PWRSOL,HYD,WD,0,0,0,0
PWRSOL,HYD,WN,0,0,0,0
PWRSOL,SOL,SD,15.9964,15.9964,15.9964,15.9964
PWRSOL,SOL,SN,0,0,0,0
PWRSOL,SOL,WD,4.62549,4.62549,4.62549,4.62549
PWRSOL,SOL,WN,0,0,0,0
PWRSOL,WAT,SD,0,0,0,0
PWRSOL,WAT,SN,0,0,0,0
PWRSOL,WAT,WD,0,0,0,0
PWRSOL,WAT,WN,0,0,0,0
PWRSOL,WND,SD,0,0,0,0
PWRSOL,WND,SN,0,0,0,0
PWRSOL,WND,WD,0,0,0,0
PWRSOL,WND,WN,0,0,0,0
PWRTRN,COA,SD,0,0,0,0
PWRTRN,COA,SN,0,0,0,0
PWRTRN,COA,WD,0,0,0,0
PWRTRN,COA,WN,0,0,0,0
PWRTRN,ELC001,SD,16.0036,16.0036,16.0036,16.0036
PWRTRN,ELC001,SN,8,8,8,8
PWRTRN,ELC001,WD,13.3745,13.3745,13.3745,13.3745
PWRTRN,ELC001,WN,42,42,42,42
PWRTRN,ELC002,SD,0,0,0,0
PWRTRN,ELC002,SN,0,0,0,0
PWRTRN,ELC002,WD,0,0,0,0
PWRTRN,ELC002,WN,0,0,0,0
PWRTRN,GAS,SD,0,0,0,0
PWRTRN,GAS,SN,0,0,0,0
PWRTRN,GAS,WD,0,0,0,0
PWRTRN,GAS,WN,0,0,0,0
PWRTRN,HYD,SD,0,0,0,0
PWRTRN,HYD,SN,0,0,0,0
PWRTRN,HYD,WD,0,0,0,0
PWRTRN,HYD,WN,0,0,0,0
PWRTRN,SOL,SD,0,0,0,0
PWRTRN,SOL,SN,0,0,0,0
PWRTRN,SOL,WD,0,0,0,0
PWRTRN,SOL,WN,0,0,0,0
PWRTRN,WAT,SD,0,0,0,0
PWRTRN,WAT,SN,0,0,0,0
PWRTRN,WAT,WD,0,0,0,0
PWRTRN,WAT,WN,0,0,0,0
PWRTRN,WND,SD,0,0,0,0
PWRTRN,WND,SN,0,0,0,0
PWRTRN,WND,WD,0,0,0,0
PWRTRN,WND,WN,0,0,0,0
PWRWND,COA,SD,0,0,0,0
PWRWND,COA,SN,0,0,0,0
PWRWND,COA,WD,0,0,0,0
PWRWND,COA,WN,0,0,0,0
PWRWND,ELC001,SD,0,0,0,0
PWRWND,ELC001,SN,0,0,0,0
PWRWND,ELC001,WD,0,0,0,0
PWRWND,ELC001,WN,0,0,0,0
PWRWND,ELC002,SD,0,0,0,0
PWRWND,ELC002,SN,0,0,0,0
PWRWND,ELC002,WD,0,0,0,0
PWRWND,ELC002,WN,0,0,0,0
PWRWND,GAS,SD,0,0,0,0
PWRWND,GAS,SN,0,0,0,0
PWRWND,GAS,WD,0,0,0,0
PWRWND,GAS,WN,0,0,0,0
PWRWND,HYD,SD,0,0,0,0
PWRWND,HYD,SN,0,0,0,0
PWRWND,HYD,WD,0,0,0,0
PWRWND,HYD,WN,0,0,0,0
PWRWND,SOL,SD,0,0,0,0
PWRWND,SOL,SN,0,0,0,0
PWRWND,SOL,WD,0,0,0,0
PWRWND,SOL,WN,0,0,0,0
PWRWND,WAT,SD,0,0,0,0
PWRWND,WAT,SN,0,0,0,0
PWRWND,WAT,WD,0,0,0,0
PWRWND,WAT,WN,0,0,0,0
PWRWND,WND,SD,0,0,0,0
PWRWND,WND,SN,0,0,0,0
PWRWND,WND,WD,0,0,0,0
PWRWND,WND,WN,0,0,0,0

Annual Emissions (Emissions Units)
,EXAMPLE
,,2019,2020,2021,2022

Annual Emissions by Technology (Emissions Units)
,EXAMPLE
Technology,Emission,2019,2020,2021,2022
